Student_ID,Gender,Attendance_Percent,Assignment_Score,Exam_Marks,Overall_Score,Result
STU0001,Female,40,46,65,58,Pass
STU0002,Male,86,51,58,56,Pass
STU0003,Male,78,50,43,45,Pass
STU0004,Female,63,85,71,76,Pass
STU0005,Male,63,44,71,62,Pass
STU0006,Female,91,62,100,87,Pass
STU0007,Female,40,69,62,64,Pass
STU0008,Female,81,100,77,85,Pass
STU0009,Male,48,37,39,38,Fail
STU0010,Male,41,43,49,47,Pass
STU0011,Female,69,67,64,65,Pass
STU0012,Male,99,100,76,84,Pass
STU0013,Male,83,59,99,85,Pass
STU0014,Male,85,69,99,88,Pass
STU0015,Male,82,79,91,87,Pass
STU0016,Female,86,78,66,70,Pass
STU0017,Male,68,58,76,70,Pass
STU0018,Female,43,47,59,55,Pass
STU0019,Female,90,58,81,73,Pass
STU0020,Female,64,57,79,71,Pass
STU0021,Male,68,59,74,69,Pass
STU0022,Male,59,60,71,67,Pass
STU0023,Female,47,44,60,54,Pass
STU0024,Female,96,83,88,86,Pass
STU0025,Female,86,84,57,66,Pass
STU0026,Male,77,69,73,72,Pass
STU0027,Female,61,63,56,58,Pass
STU0028,Male,89,75,62,67,Pass
STU0029,Female,70,64,89,80,Pass
STU0030,Female,64,52,84,73,Pass
STU0031,Male,64,64,82,76,Pass
STU0032,Female,49,51,58,56,Pass
STU0033,Female,41,73,74,74,Pass
STU0034,Female,71,83,73,76,Pass
STU0035,Male,93,81,85,84,Pass
STU0036,Female,39,37,33,34,Fail
STU0037,Female,91,62,82,75,Pass
STU0038,Female,89,88,83,85,Pass
STU0039,Male,53,57,41,47,Pass
STU0040,Male,76,73,72,72,Pass
STU0041,Male,45,29,46,40,Pass
STU0042,Female,85,83,100,94,Pass
STU0043,Male,81,75,87,83,Pass
STU0044,Female,58,44,57,52,Pass
STU0045,Male,39,41,51,48,Pass
STU0046,Male,99,83,86,85,Pass
STU0047,Male,64,61,61,61,Pass
STU0048,Male,93,73,66,68,Pass
STU0049,Male,79,67,70,69,Pass
STU0050,Female,86,69,66,67,Pass
STU0051,Male,85,74,60,65,Pass
STU0052,Male,47,69,65,66,Pass
STU0053,Male,59,27,58,47,Pass
STU0054,Male,65,58,41,47,Pass
STU0055,Female,67,64,65,65,Pass
STU0056,Male,37,49,62,57,Pass
STU0057,Female,71,60,81,74,Pass
STU0058,Male,45,29,61,50,Pass
STU0059,Male,84,75,77,76,Pass
STU0060,Female,80,90,68,76,Pass
STU0061,Male,95,59,63,62,Pass
STU0062,Male,84,82,83,83,Pass
STU0063,Male,59,54,65,61,Pass
STU0064,Female,98,78,100,92,Pass
STU0065,Female,62,46,74,64,Pass
STU0066,Male,56,52,56,55,Pass
STU0067,Male,94,92,69,77,Pass
STU0068,Male,59,64,58,60,Pass
STU0069,Male,40,68,58,62,Pass
STU0070,Female,65,75,65,68,Pass
STU0071,Male,87,78,71,73,Pass
STU0072,Female,47,72,62,66,Pass
STU0073,Male,65,66,59,61,Pass
STU0074,Male,43,59,46,51,Pass
STU0075,Male,80,65,76,72,Pass
STU0076,Male,66,62,60,61,Pass
STU0077,Female,56,47,60,55,Pass
STU0078,Female,49,64,62,63,Pass
STU0079,Female,72,50,50,50,Pass
STU0080,Male,79,78,69,72,Pass
STU0081,Female,97,76,100,92,Pass
STU0082,Male,63,74,52,60,Pass
STU0083,Female,45,59,27,38,Fail
STU0084,Female,89,96,60,73,Pass
STU0085,Female,76,76,74,75,Pass
STU0086,Female,81,51,70,63,Pass
STU0087,Female,41,47,49,48,Pass
STU0088,Female,55,41,71,60,Pass
STU0089,Male,85,66,40,49,Pass
STU0090,Male,89,92,88,89,Pass
STU0091,Male,63,67,85,79,Pass
STU0092,Female,88,65,61,62,Pass
STU0093,Male,90,62,71,68,Pass
STU0094,Male,60,58,52,54,Pass
STU0095,Male,94,62,66,65,Pass
STU0096,Female,54,47,52,50,Pass
STU0097,Male,50,56,75,68,Pass
STU0098,Male,80,83,100,94,Pass
STU0099,Female,77,75,69,71,Pass
STU0100,Female,44,22,70,53,Pass
STU0101,Male,89,78,80,79,Pass
STU0102,Female,48,52,77,68,Pass
STU0103,Female,88,78,78,78,Pass
STU0104,Male,35,64,53,57,Pass
STU0105,Female,87,48,76,66,Pass
STU0106,Female,86,65,100,88,Pass
STU0107,Female,86,79,90,86,Pass
STU0108,Male,78,49,58,55,Pass
STU0109,Female,66,79,82,81,Pass
STU0110,Male,81,74,70,71,Pass
STU0111,Female,53,64,53,57,Pass
STU0112,Male,86,65,87,79,Pass
STU0113,Male,71,74,71,72,Pass
STU0114,Male,65,74,71,72,Pass
STU0115,Male,68,65,67,66,Pass
STU0116,Female,72,67,74,72,Pass
STU0117,Male,37,49,54,52,Pass
STU0118,Male,44,39,24,29,Fail
STU0119,Male,51,51,64,59,Pass
STU0120,Male,42,46,38,41,Pass
STU0121,Male,64,65,46,53,Pass
STU0122,Female,79,80,75,77,Pass
STU0123,Female,78,55,70,65,Pass
STU0124,Female,66,60,56,57,Pass
STU0125,Female,91,93,95,94,Pass
STU0126,Male,72,56,49,51,Pass
STU0127,Male,40,37,42,40,Pass
STU0128,Female,85,74,69,71,Pass
STU0129,Female,72,75,71,72,Pass
STU0130,Male,76,67,75,72,Pass
STU0131,Male,72,81,60,67,Pass
STU0132,Male,71,74,80,78,Pass
STU0133,Male,40,57,53,54,Pass
STU0134,Male,71,71,45,54,Pass
STU0135,Male,87,100,59,73,Pass
STU0136,Female,55,53,58,56,Pass
STU0137,Male,74,42,61,54,Pass
STU0138,Female,37,65,52,57,Pass
STU0139,Female,57,51,58,56,Pass
STU0140,Female,63,61,67,65,Pass
STU0141,Female,99,95,100,98,Pass
STU0142,Female,49,33,36,35,Fail
STU0143,Male,53,39,38,38,Fail
STU0144,Male,61,39,43,42,Pass
STU0145,Female,100,70,86,80,Pass
STU0146,Male,91,80,97,91,Pass
STU0147,Female,37,52,44,47,Pass
STU0148,Female,50,56,24,35,Fail
STU0149,Male,89,57,52,54,Pass
STU0150,Female,38,18,31,26,Fail
STU0151,Male,91,76,73,74,Pass
STU0152,Male,53,48,51,50,Pass
STU0153,Female,95,83,84,84,Pass
STU0154,Female,54,63,56,58,Pass
